id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1177790551481036802,Sat Sep 28 03:42:04 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jeffreyng0113: A person in China said he used Huawei image as the wallpaper of his latest iPhone 11 and wanted to support Huawei mental…,A person China said used Huawei image wallpaper latest iPhone wanted support Huawei mental…,"Sentiment(polarity=0.5, subjectivity=0.9)",0.5,0.9,en,0,72,dllmhkg,,,jeffreyng0113,,
1177790547315937280,Sat Sep 28 03:42:03 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,DanielG29255,,,vectornator,"भिलाई, भारत",
1177790535588700161,Sat Sep 28 03:42:00 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Debasish_John: Just the right amount of everything. #iPhone11 available now at your nearest Apple authorized re-seller with a cashback…,Just right amount everything available nearest Apple authorized re-seller cashback…,"Sentiment(polarity=0.34285714285714286, subjectivity=0.46785714285714286)",0.34285714285714286,0.46785714285714286,en,0,1,Biswaji00127816,,iPhone11,Debasish_John,,
1177790529947492352,Sat Sep 28 03:41:59 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So now is the moment to ask: Do we really need to upgrade our iPhones every two years?

Based on my tests of the… https://t.co/0hHt3Ugtaa",So moment ask Do really need upgrade iPhones every two years Based tests the…,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,1,0,SVyV,False,,,"México, D.F.",
1177790354323582976,Sat Sep 28 03:41:17 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Just saw this on Amazon: Simple Mobile - Apple iPhone 11 Pro (64GB) ... by Apple for $999.99… https://t.co/tmSDe09aFS,Just saw Amazon Simple Mobile Apple iPhone Pro 64GB ... Apple 999.99…,"Sentiment(polarity=0.0, subjectivity=0.35714285714285715)",0.0,0.35714285714285715,en,0,0,sol15g,False,,,"Illinois, USA",
1177790084403224577,Sat Sep 28 03:40:13 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,911mozr1up,,,vectornator,,
1177790032591151104,Sat Sep 28 03:40:00 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,ProFitzFPS,,,vectornator,US,
1177789827468730368,Sat Sep 28 03:39:11 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @mikejobson: iPhone 11 sold out before release date as it's given 3 each to every tech YouTuber that ever existed for an early unboxing…,iPhone sold release date 's given every tech YouTuber ever existed early unboxing…,"Sentiment(polarity=0.1, subjectivity=0.3)",0.1,0.3,en,0,653,p7uglUlK3qWGCgs,,,mikejobson,,
1177789572220149760,Sat Sep 28 03:38:10 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I’m feeling this new #iPhone11 didn’t feel like waiting on the Pro or the max 🤷🏿‍♂️,I ’ feeling new ’ feel like waiting Pro max 🤷‍️,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,0,TamonRollins,,iPhone11,,Maryland,
1177789472357806081,Sat Sep 28 03:37:47 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Gingerted1: If you get the new #iphone11 and don’t put this vinyl on the back, your living your life all wrong ! https://t.co/TmSMc72FGO",If get new ’ put vinyl back living life wrong,"Sentiment(polarity=-0.12121212121212122, subjectivity=0.4515151515151515)",-0.12121212121212122,0.4515151515151515,en,0,187,MNcontactlens,False,iphone11,Gingerted1,"กรุงเทพมหานคร, ประเทศไทย",
1177789456457224192,Sat Sep 28 03:37:43 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @booredatwork: A week after the launch rocking the Thin fit, Rugged armor Spigen cases on  #iPhone11 &amp; #Iphone11ProMax. What cases are y…",A week launch rocking Thin fit Rugged armor Spigen cases amp What cases y…,"Sentiment(polarity=0.0, subjectivity=0.625)",0.0,0.625,en,0,5,neelgaganslg,,"iPhone11, Iphone11ProMax",booredatwork,India,
1177789346889392130,Sat Sep 28 03:37:17 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @smazizg: Phone 12 concept Leaks have already started to come in. No notch ,iPhone 4 design and a time of flight camera…",Phone concept Leaks already started come No notch iPhone design time flight camera…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,11,mrsharanjit,,,smazizg,India,
1177789333627179008,Sat Sep 28 03:37:14 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,rich_jona,,,vectornator,Germany ,
1177789242501734400,Sat Sep 28 03:36:52 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,04Ebyoung,,,vectornator,NC,
1177789019775787009,Sat Sep 28 03:35:59 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ctfromshawnee That picture must have been taken with the #iPhone11 lol,That picture must taken lol,"Sentiment(polarity=0.8, subjectivity=0.7)",0.8,0.7,en,1,0,ATnola_cajunEra,,iPhone11,ctfromshawnee,Nola USA,
1177788670453129218,Sat Sep 28 03:34:35 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,gazingaway,,,vectornator,"Present Day, Present Time",
1177788528459210757,Sat Sep 28 03:34:02 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UHMMMM! Guys and Gals! Enter to win an iPhone 11! Trusted guys here! Use this link! https://t.co/oQKjdfX6W3 it’s… https://t.co/BCyhJsVnLQ,UHMMMM Guys Gals Enter win iPhone Trusted guys Use link ’ s…,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,0,0,obnoxygenn,False,,,"New Hampshire, USA",
1177788294249082880,Sat Sep 28 03:33:06 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Honestly, a bit hard to capture the real colour of the phone. Had to slap some filter because the original photo ma… https://t.co/rZ66Vpomjx",Honestly bit hard capture real colour phone Had slap filter original photo ma…,"Sentiment(polarity=0.22083333333333333, subjectivity=0.6229166666666667)",0.22083333333333333,0.6229166666666667,en,2,0,syafiqwarith,False,,,,
1177788053928038400,Sat Sep 28 03:32:08 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @RobertBeadles: iPhone 11 Promax Quick and dirty comparison, review and unboxing. Let me know how you like, love or hate your iPhone!
RE…",iPhone Promax Quick dirty comparison review unboxing Let know like love hate iPhone RE…,"Sentiment(polarity=-0.14166666666666666, subjectivity=0.7)",-0.14166666666666666,0.7,en,0,101,KirkNarud,False,,RobertBeadles,,
1177787708477001729,Sat Sep 28 03:30:46 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@predsmart I want that but @PredsNHL edition on my #iPhone11 ... please &amp; thank you!!! Who can do that???,I want edition ... please amp thank Who,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,nshpredsgirlatl,,iPhone11,"predsmart, PredsNHL",,
